operacao,p,q,custo_i,total_acessos,custo_medio
199,0,199,3,597,3.0
200,0,200,3,600,3.0
201,0,201,3,603,3.0
202,0,202,3,606,3.0
203,0,203,3,609,3.0
204,0,204,3,612,3.0
205,0,205,3,615,3.0
206,0,206,3,618,3.0
207,0,207,3,621,3.0
208,0,208,3,624,3.0
209,0,209,3,627,3.0
210,0,210,3,630,3.0
211,0,211,3,633,3.0
212,0,212,3,636,3.0
213,0,213,3,639,3.0
214,0,214,3,642,3.0
215,0,215,3,645,3.0
216,0,216,3,648,3.0
217,0,217,3,651,3.0
218,0,218,3,654,3.0
219,0,219,3,657,3.0
220,0,220,3,660,3.0
221,0,221,3,663,3.0
222,0,222,3,666,3.0
223,0,223,3,669,3.0
224,0,224,3,672,3.0
225,0,225,3,675,3.0
226,0,226,3,678,3.0
227,0,227,3,681,3.0
228,0,228,3,684,3.0
229,0,229,3,687,3.0
230,0,230,3,690,3.0
231,0,231,3,693,3.0
232,0,232,3,696,3.0
233,0,233,3,699,3.0
234,0,234,3,702,3.0
235,0,235,3,705,3.0
236,0,236,3,708,3.0
237,0,237,3,711,3.0
238,0,238,3,714,3.0
239,0,239,3,717,3.0
240,0,240,3,720,3.0
241,0,241,3,723,3.0
242,0,242,3,726,3.0
243,0,243,3,729,3.0
244,0,244,3,732,3.0
245,0,245,3,735,3.0
246,0,246,3,738,3.0
247,0,247,3,741,3.0
248,0,248,3,744,3.0
249,0,249,3,747,3.0
250,0,250,3,750,3.0
251,0,251,3,753,3.0
252,0,252,3,756,3.0
253,0,253,3,759,3.0
254,0,254,3,762,3.0
255,0,255,3,765,3.0
256,0,256,3,768,3.0
257,0,257,3,771,3.0
258,0,258,3,774,3.0
259,0,259,3,777,3.0
260,0,260,3,780,3.0
261,0,261,3,783,3.0
262,0,262,3,786,3.0
263,0,263,3,789,3.0
264,0,264,3,792,3.0
265,0,265,3,795,3.0
266,0,266,3,798,3.0
267,0,267,3,801,3.0
268,0,268,3,804,3.0
269,0,269,3,807,3.0
270,0,270,3,810,3.0
271,0,271,3,813,3.0
272,0,272,3,816,3.0
273,0,273,3,819,3.0
274,0,274,3,822,3.0
275,0,275,3,825,3.0
276,0,276,3,828,3.0
277,0,277,3,831,3.0
278,0,278,3,834,3.0
279,0,279,3,837,3.0
280,0,280,3,840,3.0
281,0,281,3,843,3.0
282,0,282,3,846,3.0
283,0,283,3,849,3.0
284,0,284,3,852,3.0
285,0,285,3,855,3.0
286,0,286,3,858,3.0
287,0,287,3,861,3.0
288,0,288,3,864,3.0
289,0,289,3,867,3.0
290,0,290,3,870,3.0
291,0,291,3,873,3.0
292,0,292,3,876,3.0
293,0,293,3,879,3.0
294,0,294,3,882,3.0
295,0,295,3,885,3.0
296,0,296,3,888,3.0
297,0,297,3,891,3.0
298,0,298,3,894,3.0
299,0,299,3,897,3.0
300,0,300,3,900,3.0
301,0,301,3,903,3.0
302,0,302,3,906,3.0
303,0,303,3,909,3.0
304,0,304,3,912,3.0
305,0,305,3,915,3.0
306,0,306,3,918,3.0
307,0,307,3,921,3.0
308,0,308,3,924,3.0
309,0,309,3,927,3.0
310,0,310,3,930,3.0
311,0,311,3,933,3.0
312,0,312,3,936,3.0
313,0,313,3,939,3.0
314,0,314,3,942,3.0
315,0,315,3,945,3.0
316,0,316,3,948,3.0
317,0,317,3,951,3.0
318,0,318,3,954,3.0
319,0,319,3,957,3.0
320,0,320,3,960,3.0
321,0,321,3,963,3.0
322,0,322,3,966,3.0
323,0,323,3,969,3.0
324,0,324,3,972,3.0
325,0,325,3,975,3.0
326,0,326,3,978,3.0
327,0,327,3,981,3.0
