operacao,p,q,custo_i,total_acessos,custo_medio
1,4,3,3,3,3.0
2,3,8,3,6,3.0
3,6,5,3,9,3.0
4,9,4,5,14,3.5
5,2,1,3,17,3.4
6,8,9,3,20,3.3333333333333335
7,5,0,3,23,3.2857142857142856
8,7,2,4,27,3.375
9,6,1,5,32,3.5555555555555554
10,1,0,3,35,3.5
11,6,7,6,41,3.727272727272727
