operacao,p,q,custo_i,total_acessos,custo_medio
156,236,237,628,97392,624.3076923076923
157,120,121,628,98020,624.3312101910828
158,393,418,628,98648,624.3544303797469
159,206,231,628,99276,624.377358490566
160,287,288,628,99904,624.4
161,593,568,628,100532,624.4223602484471
162,34,59,629,101161,624.4506172839506
163,483,484,628,101789,624.4723926380368
164,226,227,628,102417,624.4939024390244
165,73,74,628,103045,624.5151515151515
166,276,277,630,103675,624.5481927710844
167,588,587,628,104303,624.5688622754491
168,288,313,629,104932,624.5952380952381
169,410,385,629,105561,624.6213017751479
170,506,505,628,106189,624.6411764705882
171,597,598,628,106817,624.6608187134503
172,337,312,628,107445,624.6802325581396
173,55,56,628,108073,624.6994219653179
174,300,325,628,108701,624.7183908045977
175,135,134,628,109329,624.7371428571429
176,4,29,628,109957,624.7556818181819
177,501,500,630,110587,624.7853107344632
178,438,437,628,111215,624.8033707865169
179,311,312,628,111843,624.8212290502794
180,598,599,629,112472,624.8444444444444
181,320,345,628,113100,624.8618784530387
182,211,236,629,113729,624.8846153846154
183,587,562,629,114358,624.9071038251366
184,74,99,629,114987,624.929347826087
185,473,498,629,115616,624.9513513513514
186,278,279,628,116244,624.9677419354839
187,394,369,628,116872,624.9839572192514
188,123,148,628,117500,625.0
189,233,232,629,118129,625.021164021164
190,252,277,628,118757,625.0368421052632
191,177,202,628,119385,625.0523560209424
192,160,185,628,120013,625.0677083333334
193,331,356,629,120642,625.0880829015545
194,192,191,628,121270,625.1030927835052
195,119,118,628,121898,625.1179487179487
196,576,601,628,122526,625.1326530612245
197,317,316,628,123154,625.1472081218274
198,462,487,628,123782,625.1616161616162
199,42,43,629,124411,625.1809045226131
200,336,311,628,125039,625.195
201,515,490,629,125668,625.2139303482587
202,13,14,628,126296,625.2277227722773
203,210,235,631,126927,625.256157635468
204,473,448,630,127557,625.2794117647059
205,342,341,629,128186,625.2975609756097
206,340,315,628,128814,625.3106796116505
207,413,388,628,129442,625.3236714975845
208,514,515,628,130070,625.3365384615385
209,144,143,628,130698,625.3492822966507
210,146,145,629,131327,625.3666666666667
211,541,566,632,131959,625.3981042654028
212,128,103,628,132587,625.4103773584906
213,184,159,628,133215,625.4225352112676
214,488,489,629,133844,625.4392523364486
215,454,455,628,134472,625.4511627906977
216,82,83,629,135101,625.4675925925926
217,70,45,628,135729,625.479262672811
218,221,222,628,136357,625.4908256880734
219,241,240,629,136986,625.5068493150685
220,412,411,628,137614,625.5181818181818
221,591,590,629,138243,625.5339366515838
222,592,593,630,138873,625.5540540540541
223,276,301,632,139505,625.5829596412556
224,452,453,628,140133,625.59375
225,256,255,628,140761,625.6044444444444
226,397,372,628,141389,625.6150442477876
227,201,200,628,142017,625.6255506607929
228,232,207,630,142647,625.6447368421053
229,466,465,628,143275,625.6550218340611
230,561,586,632,143907,625.6826086956522
231,417,442,628,144535,625.6926406926407
232,409,434,629,145164,625.7068965517242
233,238,239,628,145792,625.7167381974249
234,389,390,631,146423,625.7393162393163
235,26,1,628,147051,625.7489361702128
236,510,485,629,147680,625.7627118644068
237,283,282,630,148310,625.7805907172996
238,281,306,628,148938,625.7899159663865
239,449,474,628,149566,625.7991631799163
240,324,349,629,150195,625.8125
241,121,146,629,150824,625.8257261410788
242,111,112,638,151462,625.8760330578513
243,434,435,630,152092,625.8930041152263
244,507,508,628,152720,625.9016393442623
245,103,104,632,153352,625.9265306122448
246,319,294,628,153980,625.9349593495934
247,455,480,629,154609,625.9473684210526
248,558,557,628,155237,625.9556451612904
249,291,292,628,155865,625.9638554216867
250,553,578,631,156496,625.984
251,392,391,628,157124,625.99203187251
252,552,551,632,157756,626.015873015873
253,55,80,629,158385,626.0276679841897
254,538,539,628,159013,626.0354330708661
255,367,392,629,159642,626.0470588235294
256,340,365,629,160271,626.05859375
257,272,297,628,160899,626.0661478599221
258,266,265,628,161527,626.0736434108527
259,401,376,628,162155,626.081081081081
260,279,280,629,162784,626.0923076923077
261,516,515,628,163412,626.0996168582376
262,178,177,628,164040,626.1068702290077
263,572,571,628,164668,626.1140684410647
264,154,179,633,165301,626.1401515151515
265,263,262,628,165929,626.1471698113207
266,6,31,628,166557,626.1541353383459
267,323,348,630,167187,626.1685393258427
268,481,506,629,167816,626.179104477612
269,178,179,630,168446,626.1933085501859
270,526,527,631,169077,626.2111111111111
271,444,469,628,169705,626.2177121771218
272,273,274,629,170334,626.2279411764706
273,132,133,628,170962,626.2344322344322
274,275,300,628,171590,626.2408759124088
275,261,236,628,172218,626.2472727272727
276,344,369,628,172846,626.2536231884058
277,63,38,628,173474,626.2599277978339
278,5,30,628,174102,626.2661870503597
279,301,300,633,174735,626.2903225806451
280,86,87,639,175374,626.3357142857143
281,9,10,630,176004,626.3487544483986
282,344,319,630,176634,626.3617021276596
283,428,427,628,177262,626.3674911660777
