operacao,p,q,custo_i,total_acessos,custo_medio
1,4,3,3,3,3.0
2,3,8,4,7,3.5
3,6,5,3,10,3.3333333333333335
4,9,4,3,13,3.25
5,2,1,3,16,3.2
6,8,9,4,20,3.3333333333333335
7,5,0,4,24,3.4285714285714284
8,7,2,3,27,3.375
9,6,1,4,31,3.4444444444444446
10,1,0,5,36,3.6
11,6,7,4,40,3.6363636363636362
