operacao,p,q,custo_i,total_acessos,custo_medio
182,0,182,10184,1837017,10093.5
183,0,183,10185,1847202,10094.0
184,0,184,10186,1857388,10094.5
185,0,185,10187,1867575,10095.0
186,0,186,10188,1877763,10095.5
187,0,187,10189,1887952,10096.0
188,0,188,10190,1898142,10096.5
189,0,189,10191,1908333,10097.0
190,0,190,10192,1918525,10097.5
191,0,191,10193,1928718,10098.0
192,0,192,10194,1938912,10098.5
193,0,193,10195,1949107,10099.0
194,0,194,10196,1959303,10099.5
195,0,195,10197,1969500,10100.0
196,0,196,10198,1979698,10100.5
197,0,197,10199,1989897,10101.0
198,0,198,10200,2000097,10101.5
199,0,199,10201,2010298,10102.0
200,0,200,10202,2020500,10102.5
201,0,201,10203,2030703,10103.0
202,0,202,10204,2040907,10103.5
203,0,203,10205,2051112,10104.0
204,0,204,10206,2061318,10104.5
205,0,205,10207,2071525,10105.0
206,0,206,10208,2081733,10105.5
207,0,207,10209,2091942,10106.0
208,0,208,10210,2102152,10106.5
209,0,209,10211,2112363,10107.0
210,0,210,10212,2122575,10107.5
211,0,211,10213,2132788,10108.0
212,0,212,10214,2143002,10108.5
213,0,213,10215,2153217,10109.0
214,0,214,10216,2163433,10109.5
215,0,215,10217,2173650,10110.0
216,0,216,10218,2183868,10110.5
217,0,217,10219,2194087,10111.0
218,0,218,10220,2204307,10111.5
219,0,219,10221,2214528,10112.0
220,0,220,10222,2224750,10112.5
221,0,221,10223,2234973,10113.0
222,0,222,10224,2245197,10113.5
223,0,223,10225,2255422,10114.0
224,0,224,10226,2265648,10114.5
225,0,225,10227,2275875,10115.0
226,0,226,10228,2286103,10115.5
227,0,227,10229,2296332,10116.0
228,0,228,10230,2306562,10116.5
229,0,229,10231,2316793,10117.0
230,0,230,10232,2327025,10117.5
231,0,231,10233,2337258,10118.0
232,0,232,10234,2347492,10118.5
233,0,233,10235,2357727,10119.0
234,0,234,10236,2367963,10119.5
235,0,235,10237,2378200,10120.0
236,0,236,10238,2388438,10120.5
237,0,237,10239,2398677,10121.0
238,0,238,10240,2408917,10121.5
239,0,239,10241,2419158,10122.0
240,0,240,10242,2429400,10122.5
241,0,241,10243,2439643,10123.0
242,0,242,10244,2449887,10123.5
243,0,243,10245,2460132,10124.0
244,0,244,10246,2470378,10124.5
245,0,245,10247,2480625,10125.0
246,0,246,10248,2490873,10125.5
247,0,247,10249,2501122,10126.0
248,0,248,10250,2511372,10126.5
249,0,249,10251,2521623,10127.0
250,0,250,10252,2531875,10127.5
251,0,251,10253,2542128,10128.0
252,0,252,10254,2552382,10128.5
253,0,253,10255,2562637,10129.0
254,0,254,10256,2572893,10129.5
255,0,255,10257,2583150,10130.0
256,0,256,10258,2593408,10130.5
257,0,257,10259,2603667,10131.0
258,0,258,10260,2613927,10131.5
259,0,259,10261,2624188,10132.0
260,0,260,10262,2634450,10132.5
261,0,261,10263,2644713,10133.0
262,0,262,10264,2654977,10133.5
263,0,263,10265,2665242,10134.0
264,0,264,10266,2675508,10134.5
265,0,265,10267,2685775,10135.0
266,0,266,10268,2696043,10135.5
267,0,267,10269,2706312,10136.0
268,0,268,10270,2716582,10136.5
269,0,269,10271,2726853,10137.0
270,0,270,10272,2737125,10137.5
271,0,271,10273,2747398,10138.0
272,0,272,10274,2757672,10138.5
273,0,273,10275,2767947,10139.0
274,0,274,10276,2778223,10139.5
275,0,275,10277,2788500,10140.0
276,0,276,10278,2798778,10140.5
277,0,277,10279,2809057,10141.0
278,0,278,10280,2819337,10141.5
279,0,279,10281,2829618,10142.0
280,0,280,10282,2839900,10142.5
281,0,281,10283,2850183,10143.0
282,0,282,10284,2860467,10143.5
283,0,283,10285,2870752,10144.0
284,0,284,10286,2881038,10144.5
285,0,285,10287,2891325,10145.0
286,0,286,10288,2901613,10145.5
287,0,287,10289,2911902,10146.0
288,0,288,10290,2922192,10146.5
289,0,289,10291,2932483,10147.0
290,0,290,10292,2942775,10147.5
291,0,291,10293,2953068,10148.0
292,0,292,10294,2963362,10148.5
293,0,293,10295,2973657,10149.0
294,0,294,10296,2983953,10149.5
295,0,295,10297,2994250,10150.0
296,0,296,10298,3004548,10150.5
297,0,297,10299,3014847,10151.0
298,0,298,10300,3025147,10151.5
299,0,299,10301,3035448,10152.0
300,0,300,10302,3045750,10152.5
301,0,301,10303,3056053,10153.0
302,0,302,10304,3066357,10153.5
303,0,303,10305,3076662,10154.0
304,0,304,10306,3086968,10154.5
305,0,305,10307,3097275,10155.0
306,0,306,10308,3107583,10155.5
307,0,307,10309,3117892,10156.0
308,0,308,10310,3128202,10156.5
309,0,309,10311,3138513,10157.0
310,0,310,10312,3148825,10157.5
311,0,311,10313,3159138,10158.0
312,0,312,10314,3169452,10158.5
313,0,313,10315,3179767,10159.0
314,0,314,10316,3190083,10159.5
315,0,315,10317,3200400,10160.0
316,0,316,10318,3210718,10160.5
317,0,317,10319,3221037,10161.0
318,0,318,10320,3231357,10161.5
319,0,319,10321,3241678,10162.0
320,0,320,10322,3252000,10162.5
321,0,321,10323,3262323,10163.0
322,0,322,10324,3272647,10163.5
323,0,323,10325,3282972,10164.0
324,0,324,10326,3293298,10164.5
325,0,325,10327,3303625,10165.0
326,0,326,10328,3313953,10165.5
327,0,327,10329,3324282,10166.0
328,0,328,10330,3334612,10166.5
329,0,329,10331,3344943,10167.0
330,0,330,10332,3355275,10167.5
331,0,331,10333,3365608,10168.0
332,0,332,10334,3375942,10168.5
333,0,333,10335,3386277,10169.0
334,0,334,10336,3396613,10169.5
335,0,335,10337,3406950,10170.0
336,0,336,10338,3417288,10170.5
337,0,337,10339,3427627,10171.0
338,0,338,10340,3437967,10171.5
339,0,339,10341,3448308,10172.0
340,0,340,10342,3458650,10172.5
341,0,341,10343,3468993,10173.0
342,0,342,10344,3479337,10173.5
343,0,343,10345,3489682,10174.0
344,0,344,10346,3500028,10174.5
345,0,345,10347,3510375,10175.0
346,0,346,10348,3520723,10175.5
347,0,347,10349,3531072,10176.0
348,0,348,10350,3541422,10176.5
349,0,349,10351,3551773,10177.0
350,0,350,10352,3562125,10177.5
351,0,351,10353,3572478,10178.0
352,0,352,10354,3582832,10178.5
353,0,353,10355,3593187,10179.0
354,0,354,10356,3603543,10179.5
355,0,355,10357,3613900,10180.0
356,0,356,10358,3624258,10180.5
357,0,357,10359,3634617,10181.0
358,0,358,10360,3644977,10181.5
359,0,359,10361,3655338,10182.0
360,0,360,10362,3665700,10182.5
361,0,361,10363,3676063,10183.0
362,0,362,10364,3686427,10183.5
363,0,363,10365,3696792,10184.0
